"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","3,758.388","3,806.793","3,867.007","3,726.255","","-1.42%"
"03/01/2025","3,812.333","3,358.578","4,011.564","3,353.732","","13.54%"
"02/01/2025","3,357.662","3,240.904","3,463.007","3,200.063","","4.31%"
"01/01/2025","3,219.076","2,986.238","3,248.300","2,969.522","","7.89%"
"12/01/2024","2,983.704","2,960.894","3,056.281","2,910.468","","0.78%"
"11/01/2024","2,960.506","3,028.985","3,048.516","2,803.039","","-2.27%"
"10/01/2024","3,029.244","2,898.911","3,075.729","2,867.386","","4.51%"
"09/01/2024","2,898.606","2,742.252","2,949.112","2,705.486","","5.65%"
"08/01/2024","2,743.604","2,609.537","2,786.052","2,538.690","","5.15%"
"07/01/2024","2,609.338","2,448.976","2,642.423","2,428.557","","6.50%"
"06/01/2024","2,449.992","2,409.751","2,502.806","2,379.625","","1.73%"
"05/01/2024","2,408.353","2,388.645","2,536.530","2,368.790","","0.90%"
"04/01/2024","2,386.959","2,341.968","2,534.119","2,299.891","","1.98%"
"03/01/2024","2,340.660","2,057.006","2,343.059","2,053.744","","13.79%"
"02/01/2024","2,056.975","1,991.696","2,061.823","1,936.856","","3.29%"
"01/01/2024","1,991.522","1,954.960","2,005.885","1,939.372","","1.87%"
"12/01/2023","1,954.960","1,898.678","1,992.603","1,842.389","","3.16%"
"11/01/2023","1,894.998","1,805.505","1,907.229","1,772.368","","4.96%"
"10/01/2023","1,805.389","1,630.008","1,826.374","1,595.975","","10.82%"
"09/01/2023","1,629.160","1,665.583","1,691.958","1,621.012","","-2.15%"
"08/01/2023","1,665.030","1,700.753","1,725.471","1,556.781","","-2.12%"
"07/01/2023","1,701.080","1,607.639","1,721.298","1,584.564","","8.00%"
"06/01/2023","1,575.044","1,312.416","1,623.128","1,305.968","","20.01%"
"05/01/2023","1,312.416","1,242.845","1,321.519","1,236.938","","5.60%"
"04/01/2023","1,242.820","1,215.067","1,273.161","1,203.385","","2.34%"
"03/01/2023","1,214.353","1,108.557","1,232.374","1,100.926","","9.54%"
"02/01/2023","1,108.610","1,165.837","1,185.682","1,094.085","","-4.90%"
"01/01/2023","1,165.671","1,096.342","1,178.670","1,094.884","","6.27%"
"12/01/2022","1,096.929","1,062.582","1,104.501","1,057.689","","3.23%"
"11/01/2022","1,062.592","977.369","1,068.747","967.874","","8.73%"
"10/01/2022","977.261","987.713","1,035.019","967.567","","-1.06%"
"09/01/2022","987.688","999.648","1,017.018","960.081","","-1.20%"
"08/01/2022","999.730","1,017.160","1,041.816","997.750","","-1.58%"
"07/01/2022","1,015.744","970.245","1,019.621","946.272","","4.70%"
"06/01/2022","970.139","968.056","1,042.683","950.208","","0.17%"
"05/01/2022","968.452","905.928","981.486","884.895","","6.97%"
"04/01/2022","905.365","913.711","940.873","891.710","","-0.92%"
"03/01/2022","913.772","848.361","968.501","843.385","","7.67%"
"02/01/2022","848.680","769.074","920.632","768.290","","10.35%"
"01/01/2022","769.081","793.409","817.753","750.090","","-1.36%"
"12/01/2021","779.684","770.120","1,062.746","594.904","","1.25%"
"11/01/2021","770.057","548.996","789.742","545.873","","40.28%"
"10/01/2021","548.947","501.074","567.990","497.529","","9.57%"
"09/01/2021","501.015","485.384","503.980","478.214","","3.21%"
"08/01/2021","485.431","492.347","498.530","466.506","","-1.55%"
"07/01/2021","493.070","495.021","495.021","493.070","","-0.37%"
"06/01/2021","494.922","520.955","535.823","488.893","","-5.00%"
"05/01/2021","520.959","471.626","526.651","471.029","","10.49%"
"04/01/2021","471.483","453.452","484.989","444.252","","3.98%"
"03/01/2021","453.452","415.080","475.513","400.585","","9.25%"
"02/01/2021","415.067","434.531","436.828","395.007","","-4.49%"
"01/01/2021","434.587","454.121","466.184","431.566","","-4.30%"
"12/01/2020","454.121","447.849","474.854","441.437","","1.40%"
"11/01/2020","447.834","504.838","539.889","440.253","","-11.60%"
"10/01/2020","506.603","468.541","508.726","465.753","","8.09%"
"09/01/2020","468.680","465.453","478.233","451.303","","0.68%"
"08/01/2020","465.535","444.650","488.075","433.725","","5.11%"
"07/01/2020","442.907","392.789","444.920","387.416","","12.75%"
"06/01/2020","392.809","381.185","393.538","364.476","","3.05%"
"05/01/2020","381.189","379.412","396.334","368.592","","0.46%"
"04/01/2020","379.430","335.903","389.512","335.480","","12.96%"
"03/01/2020","335.908","319.847","343.722","299.141","","5.56%"
"02/01/2020","318.226","305.674","334.192","297.340","","4.13%"
"01/01/2020","305.612","290.727","309.727","289.722","","5.27%"
