"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2025","38.0112","37.9474","38.2367","37.6548","","0.18%"
"03/01/2025","37.9417","36.5154","41.2164","36.2236","","4.25%"
"02/01/2025","36.3935","35.7849","36.7288","35.4093","","1.95%"
"01/01/2025","35.6977","35.3130","36.0191","35.1345","","1.03%"
"12/01/2024","35.3350","34.6902","35.7370","34.5745","","1.86%"
"11/01/2024","34.6913","34.2555","34.9331","34.0845","","1.28%"
"10/01/2024","34.2540","34.1863","34.5670","33.9026","","0.27%"
"09/01/2024","34.1605","34.0452","34.3537","33.6661","","0.26%"
"08/01/2024","34.0711","33.1474","34.4059","32.9100","","2.81%"
"07/01/2024","33.1401","32.7728","33.3377","32.3985","","1.51%"
"06/01/2024","32.6485","32.2267","33.0728","32.0155","","1.29%"
"05/01/2024","32.2322","32.4148","32.6326","31.9207","","-0.52%"
"04/01/2024","32.4007","32.3469","33.0275","31.4914","","0.17%"
"03/01/2024","32.3460","31.2395","32.7150","31.1581","","3.71%"
"02/01/2024","31.1883","30.3406","31.4385","30.1707","","2.88%"
"01/01/2024","30.3151","29.4477","30.6623","29.4477","","2.84%"
"12/01/2023","29.4766","28.8743","29.7808","28.6961","","2.15%"
"11/01/2023","28.8552","28.3123","29.0316","28.1110","","2.05%"
"10/01/2023","28.2752","27.4042","28.5102","27.2744","","3.30%"
"09/01/2023","27.3712","26.6979","27.8383","26.4470","","2.71%"
"08/01/2023","26.6502","26.9289","27.5805","25.1590","","-0.91%"
"07/01/2023","26.8955","26.0510","27.3188","25.6138","","3.26%"
"06/01/2023","26.0461","20.7993","26.2565","20.6165","","25.24%"
"05/01/2023","20.7973","19.4425","20.8990","19.3439","","6.94%"
"04/01/2023","19.4478","19.1863","19.5609","19.0898","","1.51%"
"03/01/2023","19.1582","18.8847","19.4118","18.5798","","1.49%"
"02/01/2023","18.8761","18.8115","19.0669","18.7068","","0.37%"
"01/01/2023","18.8064","18.6985","18.9114","18.5730","","0.63%"
"12/01/2022","18.6883","18.6126","18.8374","18.4932","","0.53%"
"11/01/2022","18.5895","18.6149","18.7444","18.3528","","-0.01%"
"10/01/2022","18.5920","18.4895","18.7200","18.3515","","0.50%"
"09/01/2022","18.5000","18.1976","18.6262","18.0980","","1.72%"
"08/01/2022","18.1868","17.9084","18.3530","17.6443","","1.54%"
"07/01/2022","17.9114","16.6968","18.0470","16.5898","","7.30%"
"06/01/2022","16.6933","16.4054","17.4713","16.0021","","1.95%"
"05/01/2022","16.3748","14.8462","16.5295","14.6820","","10.33%"
"04/01/2022","14.8416","14.6735","14.9055","14.4779","","1.17%"
"03/01/2022","14.6700","13.8295","15.0425","13.7020","","5.96%"
"02/01/2022","13.8443","13.3221","14.7314","13.1972","","4.03%"
"01/01/2022","13.3074","13.4532","14.0585","12.6503","","-0.07%"
"12/01/2021","13.3161","13.4856","18.3674","10.1565","","-1.17%"
"11/01/2021","13.4732","9.6070","13.7466","9.4570","","40.30%"
"10/01/2021","9.6030","8.8909","9.8595","8.8132","","8.07%"
"09/01/2021","8.8862","8.3164","8.9607","8.2551","","7.00%"
"08/01/2021","8.3045","8.4539","8.6885","8.2712","","-1.53%"
"07/01/2021","8.4333","8.7087","8.7409","8.3824","","-3.11%"
"06/01/2021","8.7037","8.4894","8.8086","8.2647","","2.63%"
"05/01/2021","8.4808","8.2891","8.6237","8.2080","","2.51%"
"04/01/2021","8.2735","8.2487","8.4942","7.9745","","0.36%"
"03/01/2021","8.2439","7.4269","8.4677","7.1909","","11.06%"
"02/01/2021","7.4226","7.3151","7.4925","6.8882","","1.54%"
"01/01/2021","7.3099","7.4403","7.5458","7.2372","","-1.64%"
"12/01/2020","7.4320","7.8328","8.0347","7.3030","","-5.06%"
"11/01/2020","7.8284","8.3467","8.5876","7.5035","","-6.19%"
"10/01/2020","8.3448","7.7187","8.3899","7.6219","","8.15%"
"09/01/2020","7.7157","7.3513","7.8669","7.3158","","5.02%"
"08/01/2020","7.3466","6.9745","7.4212","6.8868","","5.40%"
"07/01/2020","6.9702","6.8534","7.0169","6.8165","","1.75%"
"06/01/2020","6.8500","6.8221","6.8646","6.6835","","0.47%"
"05/01/2020","6.8182","6.9866","7.2712","6.6957","","-2.36%"
"04/01/2020","6.9829","6.6149","7.0097","6.5891","","5.63%"
"03/01/2020","6.6110","6.2432","6.6272","6.0303","","5.97%"
"02/01/2020","6.2387","5.9819","6.2579","5.9585","","4.31%"
